age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,subscribed,subscribed_bin,never_contacted,balance_segment,segment,propension_score,score_decile,priorite
59,admin.,married,secondary,no,2343,yes,no,,5,may,1042,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8024543401642623,D8,PRIORITÉ 1 — Contacter en urgence
56,admin.,married,secondary,no,45,no,no,,5,may,1467,1,,0,,yes,1,1,Q1 — Faible solde,CHAUD,0.8537538650321176,D8,PRIORITÉ 1 — Contacter en urgence
41,technician,married,secondary,no,1270,yes,no,,5,may,1389,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8408034754751791,D8,PRIORITÉ 1 — Contacter en urgence
55,services,married,secondary,no,2476,yes,no,,5,may,579,1,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.4442952514665297,D5,PRIORITÉ 2 — À qualifier
54,admin.,married,tertiary,no,184,no,no,,5,may,673,2,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.6916271948048508,D6,PRIORITÉ 1 — Contacter en urgence
42,management,single,tertiary,no,0,yes,yes,,5,may,562,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.4232030776947776,D5,PRIORITÉ 2 — À qualifier
56,management,married,tertiary,no,830,yes,yes,,6,may,1201,1,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8402070934184187,D8,PRIORITÉ 1 — Contacter en urgence
60,retired,divorced,secondary,no,545,yes,no,,6,may,1030,1,,0,,yes,1,1,Q2 — Solde moyen-bas,CHAUD,0.8598171352483543,D8,PRIORITÉ 1 — Contacter en urgence
37,technician,married,secondary,no,1,yes,no,,6,may,608,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.4500773490158828,D5,PRIORITÉ 2 — À qualifier
28,services,single,secondary,no,5090,yes,no,,6,may,1297,3,,0,,yes,1,1,Q4 — Solde élevé,TIÈDE,0.8808725459091654,D9,PRIORITÉ 1 — Contacter en urgence
38,admin.,single,secondary,no,100,yes,no,,7,may,786,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.7723602548913927,D7,PRIORITÉ 1 — Contacter en urgence
30,blue-collar,married,secondary,no,309,yes,no,,7,may,1574,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8698578885456185,D9,PRIORITÉ 1 — Contacter en urgence
29,management,married,tertiary,no,199,yes,yes,,7,may,1689,4,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.9267049993618651,D10,PRIORITÉ 1 — Contacter en urgence
46,blue-collar,single,tertiary,no,460,yes,no,,7,may,1102,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8396884441681239,D8,PRIORITÉ 1 — Contacter en urgence
31,technician,single,tertiary,no,703,yes,no,,8,may,943,2,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.8522479965193233,D8,PRIORITÉ 1 — Contacter en urgence
35,management,divorced,tertiary,no,3837,yes,no,,8,may,1084,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.8592300658027849,D8,PRIORITÉ 1 — Contacter en urgence
32,blue-collar,single,primary,no,611,yes,no,,8,may,541,3,,0,,yes,1,1,Q3 — Solde moyen-haut,TIÈDE,0.5154980640538545,D6,PRIORITÉ 2 — À qualifier
49,services,married,secondary,no,-8,yes,no,,8,may,1119,1,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8674636089541131,D9,PRIORITÉ 1 — Contacter en urgence
41,admin.,married,secondary,no,55,yes,no,,8,may,1120,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8484457384614683,D8,PRIORITÉ 1 — Contacter en urgence
49,admin.,divorced,secondary,no,168,yes,yes,,8,may,513,1,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.39553534818529007,D5,PRIORITÉ 2 — À qualifier
28,admin.,divorced,secondary,no,785,yes,no,,8,may,442,2,,0,,yes,1,1,Q3 — Solde moyen-haut,CHAUD,0.1874402970455958,D4,PRIORITÉ 3 — Nurturing
43,management,single,tertiary,no,2067,yes,no,,8,may,756,1,,0,,yes,1,1,Q4 — Solde élevé,CHAUD,0.6841294698735294,D6,PRIORITÉ 1 — Contacter en urgence
43,management,divorced,tertiary,no,388,yes,no,,8,may,2087,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8903370691666459,D9,PRIORITÉ 1 — Contacter en urgence
43,blue-collar,married,primary,no,-192,yes,no,,8,may,1120,2,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.8683882267176799,D9,PRIORITÉ 1 — Contacter en urgence
37,unemployed,single,secondary,no,381,yes,no,,8,may,985,2,,0,,yes,1,1,Q2 — Solde moyen-bas,TIÈDE,0.8633034838835922,D8,PRIORITÉ 1 — Contacter en urgence
35,blue-collar,single,secondary,no,40,yes,no,,9,may,617,4,,0,,yes,1,1,Q1 — Faible solde,FROID,0.5907714636045633,D6,PRIORITÉ 2 — À qualifier
31,technician,single,tertiary,no,22,yes,no,,9,may,483,3,,0,,yes,1,1,Q1 — Faible solde,TIÈDE,0.3586771070816034,D5,PRIORITÉ 2 — À qualifier
