job,nb_contacts,conversions,balance_moy,taux_pct
student,360,269,1500.7833333333333,74.72
retired,778,516,2417.2506426735217,66.32
unemployed,357,202,1314.719887955182,56.58
management,2566,1301,1793.6636788776304,50.7
admin.,1334,631,1195.8665667166417,47.3
self-employed,405,187,1865.3728395061728,46.17
technician,1823,840,1556.2945693911136,46.08
services,923,369,1081.1711809317444,39.98
housemaid,274,109,1366.1605839416059,39.78
entrepreneur,328,123,1621.9420731707316,37.5
blue-collar,1944,708,1203.9264403292182,36.42
