age,job,marital,education,default,balance,housing,loan,contact,month,month_date,duration,campaign,poutcome,subscribed,subscribed_bin,balance_segment,segment,propension_score,score_decile,priorite
59,admin.,married,secondary,no,2343,yes,no,,may,2025-05-01,1042,1,,yes,1,Q4 — Solde élevé,CHAUD,0.8024543401642623,D8,PRIORITÉ 1 — Contacter en urgence
56,admin.,married,secondary,no,45,no,no,,may,2025-05-01,1467,1,,yes,1,Q1 — Faible solde,CHAUD,0.8537538650321176,D8,PRIORITÉ 1 — Contacter en urgence
41,technician,married,secondary,no,1270,yes,no,,may,2025-05-01,1389,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8408034754751791,D8,PRIORITÉ 1 — Contacter en urgence
55,services,married,secondary,no,2476,yes,no,,may,2025-05-01,579,1,,yes,1,Q4 — Solde élevé,TIÈDE,0.4442952514665297,D5,PRIORITÉ 2 — À qualifier
54,admin.,married,tertiary,no,184,no,no,,may,2025-05-01,673,2,,yes,1,Q2 — Solde moyen-bas,CHAUD,0.6916271948048508,D6,PRIORITÉ 1 — Contacter en urgence
42,management,single,tertiary,no,0,yes,yes,,may,2025-05-01,562,2,,yes,1,Q1 — Faible solde,TIÈDE,0.4232030776947776,D5,PRIORITÉ 2 — À qualifier
56,management,married,tertiary,no,830,yes,yes,,may,2025-05-01,1201,1,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8402070934184187,D8,PRIORITÉ 1 — Contacter en urgence
60,retired,divorced,secondary,no,545,yes,no,,may,2025-05-01,1030,1,,yes,1,Q2 — Solde moyen-bas,CHAUD,0.8598171352483543,D8,PRIORITÉ 1 — Contacter en urgence
37,technician,married,secondary,no,1,yes,no,,may,2025-05-01,608,1,,yes,1,Q1 — Faible solde,TIÈDE,0.4500773490158828,D5,PRIORITÉ 2 — À qualifier
28,services,single,secondary,no,5090,yes,no,,may,2025-05-01,1297,3,,yes,1,Q4 — Solde élevé,TIÈDE,0.8808725459091654,D9,PRIORITÉ 1 — Contacter en urgence
38,admin.,single,secondary,no,100,yes,no,,may,2025-05-01,786,1,,yes,1,Q1 — Faible solde,TIÈDE,0.7723602548913927,D7,PRIORITÉ 1 — Contacter en urgence
30,blue-collar,married,secondary,no,309,yes,no,,may,2025-05-01,1574,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8698578885456185,D9,PRIORITÉ 1 — Contacter en urgence
29,management,married,tertiary,no,199,yes,yes,,may,2025-05-01,1689,4,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.9267049993618652,D10,PRIORITÉ 1 — Contacter en urgence
46,blue-collar,single,tertiary,no,460,yes,no,,may,2025-05-01,1102,2,,yes,1,Q2 — Solde moyen-bas,TIÈDE,0.8396884441681239,D8,PRIORITÉ 1 — Contacter en urgence
31,technician,single,tertiary,no,703,yes,no,,may,2025-05-01,943,2,,yes,1,Q3 — Solde moyen-haut,TIÈDE,0.8522479965193233,D8,PRIORITÉ 1 — Contacter en urgence
